name,sku,slug,description,price,discount_price,stock,images
Sony Tablet Model 1,SON-00001,sony-tablet-1,Sony Tablet Model 1 description,1840,1777,209,sony-tablet-1-1.jpg|sony-tablet-1-2.jpg|sony-tablet-1-3.jpg|sony-tablet-1-4.jpg
Xiaomi Headphones Model 2,XIA-00002,xiaomi-headphones-2,Xiaomi Headphones Model 2 description,218,110,224,xiaomi-headphones-2-1.jpg|xiaomi-headphones-2-2.jpg
HP Camera Model 3,HP-00003,hp-camera-3,HP Camera Model 3 description,855,755,146,hp-camera-3-1.jpg|hp-camera-3-2.jpg|hp-camera-3-3.jpg
Sony Phone Model 4,SON-00004,sony-phone-4,Sony Phone Model 4 description,2275,2241,89,sony-phone-4-1.jpg|sony-phone-4-2.jpg
Apple Headphones Model 5,APP-00005,apple-headphones-5,Apple Headphones Model 5 description,80,1,280,apple-headphones-5-1.jpg|apple-headphones-5-2.jpg|apple-headphones-5-3.jpg|apple-headphones-5-4.jpg
Samsung Tablet Model 6,SAM-00006,samsung-tablet-6,Samsung Tablet Model 6 description,1989,1966,481,samsung-tablet-6-1.jpg|samsung-tablet-6-2.jpg
Dell Laptop Model 7,DEL-00007,dell-laptop-7,Dell Laptop Model 7 description,636,537,104,dell-laptop-7-1.jpg|dell-laptop-7-2.jpg|dell-laptop-7-3.jpg|dell-laptop-7-4.jpg
Xiaomi Camera Model 8,XIA-00008,xiaomi-camera-8,Xiaomi Camera Model 8 description,121,33,173,xiaomi-camera-8-1.jpg|xiaomi-camera-8-2.jpg
Lenovo Phone Model 9,LEN-00009,lenovo-phone-9,Lenovo Phone Model 9 description,1686,1667,380,lenovo-phone-9-1.jpg|lenovo-phone-9-2.jpg
Acer Tablet Model 10,ACE-00010,acer-tablet-10,Acer Tablet Model 10 description,379,201,19,acer-tablet-10-1.jpg|acer-tablet-10-2.jpg|acer-tablet-10-3.jpg|acer-tablet-10-4.jpg
Samsung Tablet Model 11,SAM-00011,samsung-tablet-11,Samsung Tablet Model 11 description,583,410,214,samsung-tablet-11-1.jpg|samsung-tablet-11-2.jpg
Asus Phone Model 12,ASU-00012,asus-phone-12,Asus Phone Model 12 description,1981,1952,249,asus-phone-12-1.jpg|asus-phone-12-2.jpg
Samsung Watch Model 13,SAM-00013,samsung-watch-13,Samsung Watch Model 13 description,624,434,281,samsung-watch-13-1.jpg|samsung-watch-13-2.jpg|samsung-watch-13-3.jpg|samsung-watch-13-4.jpg
OnePlus Tablet Model 14,ONE-00014,oneplus-tablet-14,OnePlus Tablet Model 14 description,2001,1891,73,oneplus-tablet-14-1.jpg|oneplus-tablet-14-2.jpg|oneplus-tablet-14-3.jpg
Sony Camera Model 15,SON-00015,sony-camera-15,Sony Camera Model 15 description,1696,1505,89,sony-camera-15-1.jpg|sony-camera-15-2.jpg
HP Camera Model 16,HP-00016,hp-camera-16,HP Camera Model 16 description,773,648,140,hp-camera-16-1.jpg|hp-camera-16-2.jpg|hp-camera-16-3.jpg|hp-camera-16-4.jpg
Dell Headphones Model 17,DEL-00017,dell-headphones-17,Dell Headphones Model 17 description,1272,1231,142,dell-headphones-17-1.jpg|dell-headphones-17-2.jpg
Asus Phone Model 18,ASU-00018,asus-phone-18,Asus Phone Model 18 description,1798,1685,323,asus-phone-18-1.jpg|asus-phone-18-2.jpg|asus-phone-18-3.jpg|asus-phone-18-4.jpg
Lenovo Headphones Model 19,LEN-00019,lenovo-headphones-19,Lenovo Headphones Model 19 description,1725,1681,117,lenovo-headphones-19-1.jpg|lenovo-headphones-19-2.jpg|lenovo-headphones-19-3.jpg|lenovo-headphones-19-4.jpg
Lenovo Camera Model 20,LEN-00020,lenovo-camera-20,Lenovo Camera Model 20 description,2386,2262,202,lenovo-camera-20-1.jpg|lenovo-camera-20-2.jpg|lenovo-camera-20-3.jpg
Lenovo Headphones Model 21,LEN-00021,lenovo-headphones-21,Lenovo Headphones Model 21 description,674,665,402,lenovo-headphones-21-1.jpg|lenovo-headphones-21-2.jpg|lenovo-headphones-21-3.jpg|lenovo-headphones-21-4.jpg
HP Laptop Model 22,HP-00022,hp-laptop-22,HP Laptop Model 22 description,2094,1967,282,hp-laptop-22-1.jpg|hp-laptop-22-2.jpg|hp-laptop-22-3.jpg|hp-laptop-22-4.jpg
Xiaomi Laptop Model 23,XIA-00023,xiaomi-laptop-23,Xiaomi Laptop Model 23 description,1466,1332,102,xiaomi-laptop-23-1.jpg|xiaomi-laptop-23-2.jpg|xiaomi-laptop-23-3.jpg
Lenovo Headphones Model 24,LEN-00024,lenovo-headphones-24,Lenovo Headphones Model 24 description,164,154,422,lenovo-headphones-24-1.jpg|lenovo-headphones-24-2.jpg|lenovo-headphones-24-3.jpg
Dell Watch Model 25,DEL-00025,dell-watch-25,Dell Watch Model 25 description,786,659,442,dell-watch-25-1.jpg|dell-watch-25-2.jpg|dell-watch-25-3.jpg
Lenovo Headphones Model 26,LEN-00026,lenovo-headphones-26,Lenovo Headphones Model 26 description,1091,951,457,lenovo-headphones-26-1.jpg|lenovo-headphones-26-2.jpg
Xiaomi Tablet Model 27,XIA-00027,xiaomi-tablet-27,Xiaomi Tablet Model 27 description,818,769,11,xiaomi-tablet-27-1.jpg|xiaomi-tablet-27-2.jpg|xiaomi-tablet-27-3.jpg
